,Index,Chapter,Content,Word_Count,Text_Length,Location,LocationType,Time,Event,ESummary,EImportance,CTag,CText,Character,ERole
177,177,5,"“You are old,” said the youth, “one would hardly suppose     That your eye was as steady as ever; Yet you balanced an eel on the end of your nose—     What made you so awfully clever?”",43,184,forest,EXT,day,"Recitation of 'You are old, Father William'","Alice tries to recite a poem but realizes she has forgotten the words. The Caterpillar prompts her to repeat a poem, demonstrating the theme of memory and the struggle of maintaining one's identity amid change.",5.0,,,,Turning Point
178,178,5,"“I have answered three questions, and that is enough,”     Said his father; “don’t give yourself airs! Do you think I can listen all day to such stuff?     Be off, or I’ll kick you down stairs!”",43,194,forest,EXT,day,"Recitation of 'You are old, Father William'","Alice tries to recite a poem but realizes she has forgotten the words. The Caterpillar prompts her to repeat a poem, demonstrating the theme of memory and the struggle of maintaining one's identity amid change.",5.0,,,,Turning Point
179,179,5,"“That is not said right,” said the Caterpillar.",8,47,forest,EXT,day,,,,,,,
180,180,5,"“Not _quite_ right, I’m afraid,” said Alice, timidly; “some of the words have got altered.”",15,91,forest,EXT,day,,,,Statement,The Caterpillar critiques Alice’s recitation.,Caterpillar,
181,181,5,"“It is wrong from beginning to end,” said the Caterpillar decidedly, and there was silence for some minutes.",18,108,forest,EXT,day,,,,,,,
182,182,5,The Caterpillar was the first to speak.,7,39,forest,EXT,day,,,,,,,
183,183,5,“What size do you want to be?” it asked.,9,40,forest,EXT,day,Caterpillar asks Alice about her size,"The Caterpillar asks Alice what size she wants to be, prompting her to express her desire to grow larger as she finds her current height unsatisfactory.",5.0,Statement,The Caterpillar asks Alice what size she wants to be.,Caterpillar,
184,184,5,"“Oh, I’m not particular as to size,” Alice hastily replied; “only one doesn’t like changing so often, you know.”",19,112,forest,EXT,day,Caterpillar asks Alice about her size,,5.0,,,,
185,185,5,"“I _don’t_ know,” said the Caterpillar.",6,39,forest,EXT,day,Caterpillar asks Alice about her size,,5.0,,,,
186,186,5,"Alice said nothing: she had never been so much contradicted in her life before, and she felt that she was losing her temper.",23,124,forest,EXT,day,Caterpillar asks Alice about her size,,5.0,,,,
187,187,5,“Are you content now?” said the Caterpillar.,7,44,forest,EXT,day,Caterpillar asks Alice about her size,,5.0,Statement,Alice expresses her desire to be a little larger.,Alice,
188,188,5,"“Well, I should like to be a _little_ larger, sir, if you wouldn’t mind,” said Alice: “three inches is such a wretched height to be.”",25,133,forest,EXT,day,Caterpillar asks Alice about her size,,5.0,,,,
189,189,5,"“It is a very good height indeed!” said the Caterpillar angrily, rearing itself upright as it spoke (it was exactly three inches high).",23,135,forest,EXT,day,,,,,,,
190,190,5,"“But I’m not used to it!” pleaded poor Alice in a piteous tone. And she thought of herself, “I wish the creatures wouldn’t be so easily offended!”",27,146,forest,EXT,day,,,,,,,
191,191,5,"“You’ll get used to it in time,” said the Caterpillar; and it put the hookah into its mouth and began smoking again.",22,116,forest,EXT,day,,,,Statement,"The Caterpillar instructs that one side of the mushroom will make her grow taller, and the other shorter.",Caterpillar,
192,192,5,"This time Alice waited patiently until it chose to speak again. In a minute or two the Caterpillar took the hookah out of its mouth and yawned once or twice, and shook itself. Then it got down off the mushroom, and crawled away in the grass, merely remarking as it went, “One side will make you grow taller, and the other side will make you grow shorter.”",67,355,forest,EXT,day,Caterpillar's advice on changing size,The Caterpillar advises Alice about the mushroom that can make her grow taller or shorter. This pivotal moment presents Alice with the means to navigate her physical changes in Wonderland.,6.0,,,,Climax
193,193,5,“One side of _what?_ The other side of _what?_” thought Alice to herself.,13,73,forest,EXT,day,Caterpillar's advice on changing size,The Caterpillar advises Alice about the mushroom that can make her grow taller or shorter. This pivotal moment presents Alice with the means to navigate her physical changes in Wonderland.,6.0,,,,Climax
194,194,5,"“Of the mushroom,” said the Caterpillar, just as if she had asked it aloud; and in another moment it was out of sight.",23,118,forest,EXT,day,Caterpillar's advice on changing size,The Caterpillar advises Alice about the mushroom that can make her grow taller or shorter. This pivotal moment presents Alice with the means to navigate her physical changes in Wonderland.,6.0,,,,Climax
195,195,5,"Alice remained looking thoughtfully at the mushroom for a minute, trying to make out which were the two sides of it; and as it was perfectly round, she found this a very difficult question. However, at last she stretched her arms round it as far as they would go, and broke off a bit of the edge with each hand.",60,311,forest,EXT,day,,,,,,,
196,196,5,"“And now which is which?” she said to herself, and nibbled a little of the right-hand bit to try the effect: the next moment she felt a violent blow underneath her chin: it had struck her foot!",37,193,forest,EXT,day,Alice transforms in size,"Alice experiments with pieces of the mushroom, causing her to rapidly change size. This highlights her confusion and frustration while also advancing her journey toward the garden she longs to enter.",7.0,,,,Resolution
197,197,5,"She was a good deal frightened by this very sudden change, but she felt that there was no time to be lost, as she was shrinking rapidly; so she set to work at once to eat some of the other bit. Her chin was pressed so closely against her foot, that there was hardly room to open her mouth; but she did it at last, and managed to swallow a morsel of the lefthand bit.",75,366,forest,EXT,day,Alice transforms in size,"Alice experiments with pieces of the mushroom, causing her to rapidly change size. This highlights her confusion and frustration while also advancing her journey toward the garden she longs to enter.",7.0,,,,Resolution
198,198,5,"“Come, my head’s free at last!” said Alice in a tone of delight, which changed into alarm in another moment, when she found that her shoulders were nowhere to be found: all she could see, when she looked down, was an immense length of neck, which seemed to rise like a stalk out of a sea of green leaves that lay far below her.",64,327,forest,EXT,day,Alice transforms in size,"Alice experiments with pieces of the mushroom, causing her to rapidly change size. This highlights her confusion and frustration while also advancing her journey toward the garden she longs to enter.",7.0,Action,Alice notices her head has grown significantly larger than her shoulders.,Alice,Resolution
199,199,5,"“What _can_ all that green stuff be?” said Alice. “And where _have_ my shoulders got to? And oh, my poor hands, how is it I can’t see you?” She was moving them about as she spoke, but no result seemed to follow, except a little shaking among the distant green leaves.",51,267,forest,EXT,day,Alice transforms in size,"Alice experiments with pieces of the mushroom, causing her to rapidly change size. This highlights her confusion and frustration while also advancing her journey toward the garden she longs to enter.",7.0,,,,Resolution
200,200,5,"As there seemed to be no chance of getting her hands up to her head, she tried to get her head down to them, and was delighted to find that her neck would bend about easily in any direction, like a serpent. She had just succeeded in curving it down into a graceful zigzag, and was going to dive in among the leaves, which she found to be nothing but the tops of the trees under which she had been wandering, when a sharp hiss made her draw back in a hurry: a large pigeon had flown into her face, and was beating her violently with its wings.",108,542,forest,EXT,day,Alice transforms in size,"Alice experiments with pieces of the mushroom, causing her to rapidly change size. This highlights her confusion and frustration while also advancing her journey toward the garden she longs to enter.",7.0,,,,Resolution
